JobIDRaw|JobName|Account|Partition|State|ExitCode|Elapsed|AllocCPUS|ReqMem|MaxRSS|Start|End
18254621|busco_summary|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:11|2|4G||2026-08-03T17:27:39|2026-08-03T17:27:50
18254624|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:53|8|32G||2026-08-03T17:02:37|2026-08-03T17:05:30
18254625|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:03:10|8|32G||2026-08-03T17:02:37|2026-08-03T17:05:47
18254695|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:17|8|32G||2026-08-03T17:07:37|2026-08-03T17:09:54
18254696|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:03:50|8|32G||2026-08-03T17:07:37|2026-08-03T17:11:27
18254697|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:22|8|32G||2026-08-03T17:07:37|2026-08-03T17:08:59
18254698|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:59|8|32G||2026-08-03T17:07:37|2026-08-03T17:10:36
18254765|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:09|8|32G||2026-08-03T17:12:37|2026-08-03T17:13:46
18254766|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:47|8|32G||2026-08-03T17:12:37|2026-08-03T17:14:24
18254767|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:06|8|32G||2026-08-03T17:12:37|2026-08-03T17:14:43
18254768|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:40|8|32G||2026-08-03T17:12:37|2026-08-03T17:15:17
18254830|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:02:06|8|32G||2026-08-03T17:17:38|2026-08-03T17:19:44
18254831|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:03:04|8|32G||2026-08-03T17:17:38|2026-08-03T17:20:42
18254832|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:06:05|8|32G||2026-08-03T17:17:38|2026-08-03T17:23:43
18254620|proteome_busco|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:01:25|8|32G||2026-08-03T17:17:38|2026-08-03T17:19:03
18264837|primary_proteomes|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:15|2|8G||2026-08-04T13:54:36|2026-08-04T13:54:51
18264839|primary_busco_summary|YOUR_SLURM_ACCOUNT|compute|COMPLETED|0:0|00:00:04|2|4G||2026-08-04T14:29:42|2026-08-04T14:29:46
18264840|orthofinder_core|YOUR_SLURM_ACCOUNT|compute|CANCELLED by USER_ID|0:0|00:02:47|32|128G||2026-08-04T15:09:49|2026-08-04T15:12:36
