software_or_database	version	source	status
BUSCO	No module named 'busco'	/path/to/mollusc_project/conda_envs/busco_env	command_exit_1
HMMER hmmscan	# hmmscan :: search sequence(s) against a profile database	/path/to/mollusc_project/conda_envs/busco_env	captured
OrthoFinder	Traceback (most recent call last):	/path/to/mollusc_project/conda_envs/orthofinder_env	command_exit_1
IQ-TREE	IQ-TREE version 3.1.3 for Linux x86 64-bit built Jul 26 2026	/path/to/mollusc_project/conda_envs/orthofinder_env	captured
CAFE5	Usage: cafe5 [options]	/path/to/mollusc_project/conda_envs/cafe5_env	captured
HyPhy	HYPHY 2.5.101(MP) for Linux on x86_64 x86 SSE4 SIMD zlib (v1.3.2)	/path/to/mollusc_project/conda_envs/hyphy_env	captured
Python	Python 3.13.11	login/batch base environment	captured
R	Rscript (R) version 4.5.2 (2025-10-31)	/path/to/mollusc_project/conda_envs/busco_env	captured
ggplot2	4.0.3	/path/to/mollusc_project/conda_envs/busco_env	captured
Pfam	Pfam release       : 38.2; Pfam-A families    : 30134; Date               : 2026-01; Based on UniProtKB : 2025_03	/path/to/mollusc_project/databases/pfam/current/Pfam.version	captured
eggNOG-mapper	2.1.12	Step 7 result path and run metadata	recorded_from_final_results
Salmon	see Step 13 job logs/result metadata	Step 13	recorded_by_reference
MAFFT/trimAl	see Step 10 logs	Step 10	recorded_by_reference
